DESC PRODUTO;COD BARRAS;COD UNIDADE;VLR CUSTO BRUTO;VLR VENDA 1;QTD ESTOQUE;DATA ALTERACAO;FLG ATIVO;COD EMP
MOLHO BARBECUE HEINZ FP 538GR;7896102503852;UN;14,58;0,01;4;14/12/2016;N;1
MOLHO HEINZ CHILI VD 340GR;7896102503814;UN;13,99;0,01;4;14/12/2016;N;1
MOLHO HEINZ TRADICIONAL SACHE 340GR;7896102593051;UN;1,99;0,01;24;14/12/2016;N;1
MORT JCW C/GORD FAT 150G;7898239600664;UN;1,15;0,01;10;14/12/2016;S;1
MORT JCW S/GORD FAT 150G;7898239600503;UN;1,16;11,37;10;14/12/2016;S;1
MOSTARDA AMARELA HEMMER 200G;7891031405017;UND;2,95;4,75;0;20/10/2016;S;1
MOSTARDA DOM FIORELO 200G;7896332799049;UND;2,1;2,99;0;20/10/2016;S;1
MOSTARDA HEIZ AMARELA 255G;7896102503715;UND;8,07;8,99;4;14/12/2016;S;1
NESCAU PRONTO 200ML;7891000379103;UND;1,49;1,99;0;12/10/2016;S;1
OREO MORANGO FLOWPACK 90G;7622300989408;UND;2,09;2,99;0;12/10/2016;S;1
OVO CODORNA ALTA RIO 300G;7898994476511;UND;5,9;8,49;0;12/10/2016;S;1
OVO CODORNA CODORNA E CIA VD 300GR;7898907132305;UN;6,26;0,01;15;14/12/2016;N;1
OVO CODORNA DANIMAR VIDRO 300G;7898931430033;UND;7,51;10,49;0;12/10/2016;S;1
OVO VERMELHO GRANDE EMBALADO DZ;7896344610202;UN;4,79;0,01;15;14/12/2016;N;1
PA C/CABO DOBRAVEL BOMPACK;7898921460569;UN;0;0,01;0;14/12/2016;N;1
PA DE LIXO BOMPACK;7898416300721;UN;0;0,01;0;14/12/2016;N;1
PACOCA ROLHA TRAD 18G;7896181708612;UND;0,25;0,5;0;12/10/2016;S;1
PALITO GINA DE MADEIRA;7896051020127;UN;0;0,01;0;14/12/2016;N;1
PALMITO INT PUPUNHA MICHELS 300GR;7898609760011;UN;8,81;0,01;15;14/12/2016;N;1
PALMITO PIC PUPUNHA MICHELS 300GR;7898609760028;UN;4,89;0,01;15;14/12/2016;N;1
PANO FLANELA ALKLIN PP ECONOMICA 28X38 C/3;7897750770696;UN;0;0,01;0;14/12/2016;N;1
PAO DE QUEIJO LC 1KG;7899766751812;UN;11,28;0,01;1;14/12/2016;N;1
PAPEL ALUMINIO BLUFORTE 30X7.5 MTS;7898182802115;UN;0;0,01;0;14/12/2016;N;1
PAPEL ALUMINIO BLUFORTE 45X4 MTS;7898182801156;UN;0;0,01;0;14/12/2016;N;1
PAPEL MANTEIGAFACIL BLUFORTE;7898182803037;UN;0;0,01;0;14/12/2016;N;1
PAPEL TOALHA COZINHA KING COOK 22X18.5CM C2;7898416301629;UN;0;0,01;0;14/12/2016;N;1
PAPEL TOALHA MULTIUSO BOMPACK PREMIUM 20X22CM C2;7898921461160;UN;0;0,01;0;14/12/2016;N;1
PEPINO ANGA 300GR;7898291990017;UN;4,73;0,01;15;14/12/2016;N;1
PEPSI COLA PET 2L;7892840800000;UND;4,32;5,99;0;20/10/2016;S;1
PESSEGO CALDA METADE EXTRA NEUMANN 450GR;7896040908122;UN;7,9;0,01;6;14/12/2016;N;1
PH FOFINHO FOLHA DUPLA NEUTRO C16;7896053411619;UND;13,58;18,99;0;11/10/2016;S;1
PH FOFINHO FOLHA DUPLA NEUTRO C4 30M;7896053410100;UN;3,38;4,85;0;14/12/2016;S;1
PH. BOURBON LUXO C8 30M;7896126301410;UN;0;0,01;0;14/12/2016;N;1
PH. FOFINHO FOLHA DUPLA NEUTRO C4 30 M;7896053410025;UN;0;0,01;0;14/12/2016;N;1
PH. FOFINHO NEUTRO C12 30 M;7896053411220;UN;0;0,01;0;14/12/2016;N;1
PH. FOFINHO NEUTRO C16 30 M;7896053411626;UN;0;0,01;0;14/12/2016;N;1
PILHA ALCALINA PANASONIC 12VOLTS;7896067200551;UN;0;0,01;0;16/12/2016;N;1
PILHA ALCALINA PANASONIC PALITO BLISTER;7896067202265;UN;0;0,01;0;16/12/2016;N;1
PILHA ALCALINA PANASONIC PEQUENA BLISTER 10X2;7896067202241;UN;0;0,01;0;16/12/2016;S;1
PILHA SUPER HIPER PANASONIC GRANDE C/2;7896067200018;UN;0;0,01;0;16/12/2016;N;1
PIRULITO DORI MASTIGAVEL YOGURTE;7896058500592;UN;0;0,01;0;16/12/2016;N;1
POLENTA CG PALITO EL CHEF 400GR;7898941461027;UN;1,85;0,01;25;14/12/2016;N;1
PRATO BOMPACK  15CM  C/10 UN;7898921460880;UN;0;0,01;0;14/12/2016;N;1
